PERMNO,date,TICKER,COMNAM,PRC,VOL,SHROUT,OPENPRC
12084,2019-01-02,NXPI,N X P SEMICONDUCTORS N V,75.03000,4720187,328703,71.91000
12084,2019-01-03,NXPI,N X P SEMICONDUCTORS N V,71.97000,5348669,328703,73.31000
12084,2019-01-04,NXPI,N X P SEMICONDUCTORS N V,75.45000,4862524,328703,73.36000
12084,2019-01-07,NXPI,N X P SEMICONDUCTORS N V,76.01000,3514447,328703,75.61000
12084,2019-01-08,NXPI,N X P SEMICONDUCTORS N V,76.44000,4008440,328703,76.46000
12084,2019-01-09,NXPI,N X P SEMICONDUCTORS N V,79.94000,6313980,328703,77.45000
12084,2019-01-10,NXPI,N X P SEMICONDUCTORS N V,80.03000,3111098,328703,79.10000
12084,2019-01-11,NXPI,N X P SEMICONDUCTORS N V,79.48000,3444839,328703,79.26000
12084,2019-01-14,NXPI,N X P SEMICONDUCTORS N V,78.61000,3335723,328703,78.30000
12084,2019-01-15,NXPI,N X P SEMICONDUCTORS N V,78.07000,5438279,328703,78.84000
12084,2019-01-16,NXPI,N X P SEMICONDUCTORS N V,78.34000,5617917,328703,78.50000
12084,2019-01-17,NXPI,N X P SEMICONDUCTORS N V,79.14000,5291631,328703,78.90000
12084,2019-01-18,NXPI,N X P SEMICONDUCTORS N V,80.79000,8812395,328703,80.05000
12084,2019-01-22,NXPI,N X P SEMICONDUCTORS N V,79.09000,5026686,328703,80.18000
12084,2019-01-23,NXPI,N X P SEMICONDUCTORS N V,78.90000,3478857,328703,80.01000
12084,2019-01-24,NXPI,N X P SEMICONDUCTORS N V,84.25000,8378305,328703,81.51000
12084,2019-01-25,NXPI,N X P SEMICONDUCTORS N V,85.24000,5671091,328703,85.60000
12084,2019-01-28,NXPI,N X P SEMICONDUCTORS N V,85.66000,3652421,328703,83.63000
12084,2019-01-29,NXPI,N X P SEMICONDUCTORS N V,85.74000,3493751,328703,85.42000
12084,2019-01-30,NXPI,N X P SEMICONDUCTORS N V,87.72000,5045687,328703,86.65000
12084,2019-01-31,NXPI,N X P SEMICONDUCTORS N V,87.03000,3045555,328703,87.25000
12084,2019-02-01,NXPI,N X P SEMICONDUCTORS N V,88.40000,4913935,328703,87.14000
12084,2019-02-04,NXPI,N X P SEMICONDUCTORS N V,88.70000,3233411,328703,88.04000
12084,2019-02-05,NXPI,N X P SEMICONDUCTORS N V,90.24000,5818948,328703,88.57000
12084,2019-02-06,NXPI,N X P SEMICONDUCTORS N V,92.45000,9862549,328703,92.49000
12084,2019-02-07,NXPI,N X P SEMICONDUCTORS N V,90.73000,8800220,328703,87.43000
12084,2019-02-08,NXPI,N X P SEMICONDUCTORS N V,87.51000,5585162,328703,88.64000
12084,2019-02-11,NXPI,N X P SEMICONDUCTORS N V,89.25000,4082788,328703,87.55000
12084,2019-02-12,NXPI,N X P SEMICONDUCTORS N V,93.23000,6272169,328703,90.25000
12084,2019-02-13,NXPI,N X P SEMICONDUCTORS N V,91.88000,4024706,328703,93.50000
12084,2019-02-14,NXPI,N X P SEMICONDUCTORS N V,91.75000,3344576,328703,91.50000
12084,2019-02-15,NXPI,N X P SEMICONDUCTORS N V,93.04000,3498122,328703,92.58000
12084,2019-02-19,NXPI,N X P SEMICONDUCTORS N V,92.50000,2693817,328703,93.00000
12084,2019-02-20,NXPI,N X P SEMICONDUCTORS N V,94.25000,4065036,328703,92.99000
12084,2019-02-21,NXPI,N X P SEMICONDUCTORS N V,94.35000,4859795,328703,93.82000
12084,2019-02-22,NXPI,N X P SEMICONDUCTORS N V,94.51000,3493990,328703,95.00000
12084,2019-02-25,NXPI,N X P SEMICONDUCTORS N V,97.14000,5009303,328703,95.93000
12084,2019-02-26,NXPI,N X P SEMICONDUCTORS N V,94.10000,4284485,328703,96.43000
12084,2019-02-27,NXPI,N X P SEMICONDUCTORS N V,91.83000,4953396,328703,93.67000
12084,2019-02-28,NXPI,N X P SEMICONDUCTORS N V,91.32000,2355617,328703,91.40000
12084,2019-03-01,NXPI,N X P SEMICONDUCTORS N V,94.25000,3993626,328703,92.18000
12084,2019-03-04,NXPI,N X P SEMICONDUCTORS N V,93.48000,2256361,328703,94.75000
12084,2019-03-05,NXPI,N X P SEMICONDUCTORS N V,93.30000,2272842,328703,93.39000
12084,2019-03-06,NXPI,N X P SEMICONDUCTORS N V,91.88000,2954020,328703,92.99000
12084,2019-03-07,NXPI,N X P SEMICONDUCTORS N V,94.08000,6067520,328703,93.00000
12084,2019-03-08,NXPI,N X P SEMICONDUCTORS N V,93.18000,3959660,328703,92.28000
12084,2019-03-11,NXPI,N X P SEMICONDUCTORS N V,94.28000,3115643,328703,93.60000
12084,2019-03-12,NXPI,N X P SEMICONDUCTORS N V,93.99000,2005464,328703,94.79000
12084,2019-03-13,NXPI,N X P SEMICONDUCTORS N V,93.40000,1523072,328703,94.45000
12084,2019-03-14,NXPI,N X P SEMICONDUCTORS N V,92.85000,2097363,328703,93.13000
12084,2019-03-15,NXPI,N X P SEMICONDUCTORS N V,93.38000,4099767,328703,93.41000
12084,2019-03-18,NXPI,N X P SEMICONDUCTORS N V,92.27000,1865941,328703,93.45000
12084,2019-03-19,NXPI,N X P SEMICONDUCTORS N V,92.82000,1937715,328703,92.81000
12084,2019-03-20,NXPI,N X P SEMICONDUCTORS N V,91.03000,1695657,328703,92.65000
